entidad,municipio,nEgresos,anho
1,1,5350,2016
1,3,269,2016
1,6,712,2016
1,7,716,2016
2,1,2616,2016
2,2,3354,2016
2,3,898,2016
2,4,4247,2016
2,5,573,2016
3,1,437,2016
3,2,279,2016
3,3,1152,2016
3,8,2010,2016
3,9,21,2016
4,1,126,2016
4,2,2210,2016
4,3,1399,2016
4,4,292,2016
4,5,112,2016
4,6,161,2016
4,7,7,2016
4,9,658,2016
4,10,94,2016
4,11,241,2016
5,2,998,2016
5,3,376,2016
5,7,133,2016
5,9,463,2016
5,11,2,2016
5,17,1020,2016
5,18,1536,2016
5,20,580,2016
5,24,396,2016
5,25,1556,2016
5,27,565,2016
5,28,249,2016
5,30,3994,2016
5,31,372,2016
5,32,325,2016
5,33,452,2016
5,35,2871,2016
6,2,1297,2016
6,7,1174,2016
6,9,844,2016
7,2,123,2016
7,4,386,2016
7,8,165,2016
7,9,310,2016
7,13,999,2016
7,17,269,2016
7,19,2528,2016
7,22,47,2016
7,23,189,2016
7,34,384,2016
7,40,1206,2016
7,49,60,2016
7,51,631,2016
7,52,563,2016
7,57,865,2016
7,59,1270,2016
7,61,1132,2016
7,65,1225,2016
7,68,731,2016
7,69,126,2016
7,70,26,2016
7,78,2148,2016
7,89,2900,2016
7,94,103,2016
7,96,100,2016
7,97,530,2016
7,101,3508,2016
7,106,541,2016
7,107,89,2016
7,108,1053,2016
7,109,660,2016
7,114,425,2016
8,2,4,2016
8,3,236,2016
8,9,584,2016
8,11,498,2016
8,17,1639,2016
8,19,3726,2016
8,21,1116,2016
8,25,55,2016
8,27,625,2016
8,29,271,2016
8,32,1118,2016
8,36,324,2016
8,37,5665,2016
8,50,772,2016
8,52,145,2016
8,62,2,2016
9,2,1185,2016
9,3,158,2016
9,5,4011,2016
9,6,496,2016
9,7,3966,2016
9,8,1169,2016
9,9,360,2016
9,10,3743,2016
9,11,1988,2016
9,12,2621,2016
9,13,1016,2016
9,14,588,2016
9,15,1753,2016
9,16,2667,2016
9,17,1728,2016
10,1,24,2016
10,4,44,2016
10,5,4345,2016
10,7,2461,2016
10,8,305,2016
10,12,1061,2016
10,14,120,2016
10,15,2,2016
10,17,3,2016
10,18,29,2016
10,22,2,2016
10,23,125,2016
10,24,121,2016
10,28,2,2016
10,32,364,2016
10,33,7,2016
10,34,13,2016
10,38,223,2016
10,39,6,2016
11,1,399,2016
11,2,648,2016
11,3,963,2016
